"40 - Mayflower   "
05/09/2016 --   8:45 AM
6.7.57 
Informe PMIX - Todos Terminales
05/08/2016
Centro de Consumos Seleccionados: TODOS,


"","Articulo","","Num","Precio","","","","Comida","%",
"Rango","Num","Nombre de Articulo","Vendido","Vendido","Cantidad","Costo","Rentabilidad","Costo %","Ventas",
" "," "," "," "," "," "," "," "," "," ",
"   1","4006","M.MayChiken2p","96.00","3.56 ","341.76 ","0.00 ","341.76 ","0.00","19.86 ",
"   2","4102","M.ChaufariPollo","32.00","4.46 ","142.72 ","0.00 ","142.72 ","0.00","8.30 ",
"   3","4101","M.Chaufari Lomo","29.00","4.46 ","129.34 ","0.00 ","129.34 ","0.00","7.52 ",
"   4","4202","M.TallariEspeci","28.00","4.46 ","124.88 ","0.00 ","124.88 ","0.00","7.26 ",
"   5","4201","M.Chaulafan","25.00","4.46 ","111.50 ","0.00 ","111.50 ","0.00","6.48 ",
"   6","4206","M.ChurrasMayflo","13.00","5.35 ","69.55 ","0.00 ","69.55 ","0.00","4.04 ",
"   7","4005","M.MayChiken1p","19.00","2.67 ","50.73 ","0.00 ","50.73 ","0.00","2.95 ",
"   8","4209","M.GallinaApanad","9.00","5.35 ","48.15 ","0.00 ","48.15 ","0.00","2.80 ",
"   9","5001","L.Chaulafan","10.00","4.77 ","47.70 ","0.00 ","47.70 ","0.00","2.77 ",
"  10","4001","M.RapiSaltPollo","16.00","2.67 ","42.72 ","0.00 ","42.72 ","0.00","2.48 ",
"  11","1001","ArrozBlaXChaula","44.00","0.88 ","38.72 ","0.00 ","38.72 ","0.00","2.25 ",
"  12","908","Gaseosa 1/2L","26.00","1.43 ","37.18 ","0.00 ","37.18 ","0.00","2.16 ",
"  13","4405","M Gal5 Sa G12oz","8.00","4.46 ","35.68 ","0.00 ","35.68 ","0.00","2.07 ",
"  14","4208","M.ChaulafaPollo","8.00","4.45 ","35.60 ","0.00 ","35.60 ","0.00","2.07 ",
"  15","913","Gaseosa 22oz","26.00","1.25 ","32.50 ","0.00 ","32.50 ","0.00","1.89 ",
"  16","4007","M.ComboMaylon","12.00","2.67 ","32.04 ","0.00 ","32.04 ","0.00","1.86 ",
"  17","4002","M.RapiSaltaLomo","9.00","2.67 ","24.03 ","0.00 ","24.03 ","0.00","1.40 ",
